2020-01-02,35.09,100.51,76.62,25.3,19.8,338
2020-01-03,34.68,100.25,75.58,24.5,20.0,344
2020-01-04,34.98,98.67,75.81,23.8,20.6,351
2020-01-05,35.5,97.18,75.5,23.3,20.9,347
2020-01-06,35.61,97.13,75.34,23.5,20.6,347
2020-01-07,35.9,98.57,75.8,23.2,20.0,352
2020-01-08,36.28,98.06,77.23,22.9,20.5,363
2020-01-09,36.71,97.81,79.24,22.6,20.5,375
2020-01-10,37.61,99.67,80.35,21.8,19.7,376
2020-01-11,38.24,98.38,80.37,21.6,20.6,371
2020-01-12,37.94,93.05,76.53,22.3,22.8,335.5
2020-01-13,37.46,90.38,75.59,22.7,22.8,344.5
2020-01-14,36.75,88.86,75.33,23.3,22.9,346.5
2020-01-15,35.86,88.29,75.53,24.0,22.8,349.5
2020-01-16,36.02,86.88,76.82,23.2,23.4,360.5
2020-01-17,36.42,88.08,77.79,22.8,22.4,363.5
2020-01-18,36.62,89.5,77.84,22.8,22.0,359.5
2020-01-19,36.48,90.2,78.19,23.1,22.0,362.5
2020-01-20,36.65,88.77,79.12,22.8,22.9,369.5
2020-01-21,37.49,89.43,79.05,21.9,22.2,364.5
2020-01-22,37.16,89.56,79.34,22.8,22.3,367.5
2020-01-23,36.99,89.42,80.13,22.8,22.4,373.5
2020-01-24,37.23,87.81,81.5,22.4,23.2,382.5
2020-01-25,38.14,88.55,81.97,21.5,22.4,380.5
2020-01-26,37.94,86.47,77.85,22.25,23.7,340.25
2020-01-27,37.75,83.88,75.57,22.35,24.6,338.25
2020-01-28,38.0,81.16,73.89,21.95,25.5,333.25
2020-01-29,38.75,81.4,74.34,21.25,24.5,345.25
2020-01-30,39.9,82.19,74.25,20.45,24.1,342.25
2020-01-31,41.53,84.2,74.64,19.45,23.2,346.25
2020-02-01,43.39,85.39,76.13,18.55,23.1,358.25
2020-02-02,41.9,84.27,73.72,20.78,24.05,329.12
2020-02-03,40.87,83.72,73.81,21.08,24.05,341.12
2020-02-04,41.14,82.43,74.4,20.28,24.65,346.12
2020-02-05,40.68,81.13,75.57,20.88,25.05,354.12
2020-02-06,39.47,80.53,73.21,21.94,25.02,327.06
2020-02-07,39.78,79.91,71.82,20.94,25.22,325.06
2020-02-08,39.84,78.23,71.78,21.04,26.12,331.06
2020-02-09,40.77,76.67,71.43,20.14,26.62,328.06
2020-02-10,41.02,75.48,72.45,20.34,26.92,339.06
2020-02-11,40.46,73.81,73.5,21.04,27.72,344.06
2020-02-12,40.47,74.18,73.7,20.74,26.82,341.06
2020-02-13,40.0,75.37,73.58,21.24,26.12,339.06
2020-02-14,39.22,75.67,74.5,21.84,26.32,348.06
2020-02-15,39.28,76.41,74.74,21.34,25.93,346.06
2020-02-16,39.13,77.54,75.4,21.54,25.43,351.06
2020-02-17,40.0,79.05,75.41,20.54,24.82,348.06
2020-02-18,39.95,79.65,75.95,21.04,24.93,353.06
2020-02-19,40.32,80.1,76.77,20.64,24.82,358.06
2020-02-20,39.4,80.19,74.03,21.82,24.91,329.03
2020-02-21,39.48,80.56,73.31,21.22,24.71,335.03
2020-02-22,40.5,82.28,73.17,20.22,23.81,337.03
2020-02-23,41.32,83.67,72.99,19.92,23.51,336.03
2020-02-24,42.62,83.83,73.11,19.12,23.81,338.03
2020-02-25,44.22,82.88,73.07,18.32,24.41,337.03
2020-02-26,42.43,81.91,71.04,20.66,24.71,318.52
2020-02-27,41.73,79.86,70.13,20.46,25.71,319.52
2020-02-28,40.43,78.53,69.68,21.46,25.91,319.52
2020-02-29,39.77,77.13,69.24,21.46,26.41,317.52
2020-03-01,38.91,75.87,68.47,22.06,26.81,312.52
2020-03-02,38.66,73.9,68.09,21.86,27.81,312.52
2020-03-03,37.85,71.66,67.36,22.66,28.81,307.52
2020-03-04,38.31,70.43,67.64,21.66,28.91,313.52
2020-03-05,38.44,68.65,67.79,21.76,29.91,313.52
2020-03-06,37.75,67.21,67.86,22.66,30.41,313.52
